,n_genes,canine_cv_f1,canine_cv_std,human_transfer_f1
All shared orthologs,3000.0,0.8082648597657695,0.08571870219216704,0.47686686825939567
Top 3000 by variance,3000.0,0.8082648597657695,0.08571870219216704,0.47686686825939567
Top 1000 by variance,1000.0,0.8011416651425748,0.08383237770694338,0.4876957695769577
Top 500 by variance,500.0,0.7928317777058931,0.09829668569196097,0.7049671669527873
Random 3000 genes,3000.0,0.8082648597657695,0.08571870219216704,0.4752233375873826
